,time,open,high,low,close,tick_volume,spread,real_volume
32,1673265180,1.21649,1.21651,1.21607,1.21611,122,5,0
33,1673265240,1.21611,1.2162,1.21595,1.2161,118,5,0
34,1673265300,1.21613,1.21617,1.21579,1.21614,76,5,0
35,1673265360,1.21609,1.21609,1.21519,1.21528,121,5,0
36,1673265420,1.21529,1.21624,1.21529,1.21573,282,5,0
37,1673265480,1.21573,1.21577,1.21548,1.21558,93,5,0
38,1673265540,1.21557,1.21594,1.21557,1.21587,93,5,0
39,1673265600,1.21587,1.21595,1.21563,1.2157,87,5,0
40,1673265660,1.21569,1.21572,1.21548,1.21557,81,5,0
41,1673265720,1.2156,1.21596,1.21509,1.21509,141,5,0
42,1673265780,1.2151,1.21527,1.21495,1.21497,107,5,0
43,1673265840,1.21497,1.21542,1.21496,1.21538,112,5,0
44,1673265900,1.21538,1.21568,1.21519,1.21527,110,5,0
45,1673265960,1.21527,1.21569,1.21524,1.21559,86,5,0
46,1673266020,1.21559,1.21566,1.21546,1.21554,94,5,0
47,1673266080,1.21556,1.21572,1.21527,1.21544,104,5,0
48,1673266140,1.21537,1.21539,1.21509,1.21529,91,5,0
49,1673266200,1.21527,1.21555,1.21521,1.21545,122,5,0
50,1673266260,1.21545,1.21559,1.21505,1.21515,130,5,0
51,1673266320,1.21516,1.2153,1.2150400000000001,1.21513,121,5,0
52,1673266380,1.21512,1.21529,1.21493,1.215,89,5,0
53,1673266440,1.215,1.21506,1.21465,1.21466,134,5,0
54,1673266500,1.21466,1.21479,1.21442,1.21446,146,5,0
55,1673266560,1.21446,1.21475,1.21446,1.21468,94,5,0
56,1673266620,1.21468,1.21468,1.21399,1.21437,133,5,0
57,1673266680,1.21436,1.21442,1.21416,1.21435,83,5,0
58,1673266740,1.21435,1.21438,1.21415,1.21426,103,5,0
59,1673266800,1.21426,1.21441,1.21386,1.21394,98,5,0
60,1673266860,1.21396,1.21406,1.21367,1.21406,109,5,0
61,1673266920,1.21408,1.2140900000000001,1.2138200000000001,1.21389,75,5,0
62,1673266980,1.2139,1.2139,1.21365,1.2137,59,5,0
63,1673267040,1.2137,1.21389,1.21367,1.21388,27,5,0
64,1673267100,1.21388,1.21388,1.2136,1.21376,57,5,0
65,1673267160,1.21377,1.21394,1.21373,1.21373,26,5,0
66,1673267220,1.2137,1.2137,1.21352,1.21357,61,5,0
67,1673267280,1.21357,1.21364,1.21354,1.21364,38,5,0
68,1673267340,1.2136,1.2136,1.21314,1.21341,71,5,0
69,1673267400,1.21341,1.21377,1.21339,1.21375,51,5,0
70,1673267460,1.21375,1.21376,1.21351,1.21367,114,5,0
71,1673267520,1.21369,1.21369,1.21313,1.21314,86,5,0
72,1673267580,1.21314,1.21324,1.21309,1.2132,44,5,0
73,1673267640,1.2132,1.21325,1.21284,1.21284,72,5,0
74,1673267700,1.21285,1.21296,1.21254,1.21254,96,5,0
75,1673267760,1.21257,1.21259,1.21187,1.21228,162,5,0
76,1673267820,1.21228,1.21228,1.21177,1.21181,106,5,0
77,1673267880,1.2118,1.21237,1.21176,1.21193,132,5,0
78,1673267940,1.2119900000000001,1.2119900000000001,1.21172,1.21192,76,5,0
79,1673268000,1.21191,1.21241,1.21184,1.21227,95,5,0
80,1673268060,1.21227,1.2126000000000001,1.21227,1.21257,67,5,0
81,1673268120,1.21257,1.21301,1.21244,1.213,71,5,0
82,1673268180,1.2129699999999999,1.2133099999999999,1.21284,1.2133,82,5,0
83,1673268240,1.21327,1.21333,1.21275,1.21285,136,5,0
84,1673268300,1.21286,1.21289,1.2123599999999999,1.21237,66,5,0
85,1673268360,1.21237,1.21264,1.21228,1.2123,91,5,0
86,1673268420,1.2123,1.21251,1.21215,1.21249,73,5,0
87,1673268480,1.21249,1.21262,1.2124,1.21246,60,5,0
88,1673268540,1.21246,1.21255,1.21217,1.21217,52,5,0
89,1673268600,1.21217,1.21221,1.21193,1.21221,90,5,0
90,1673268660,1.2122,1.2124,1.2122,1.21232,66,5,0
91,1673268720,1.21231,1.21233,1.21158,1.21168,84,5,0
92,1673268780,1.21168,1.21205,1.21168,1.21194,96,5,0
93,1673268840,1.21194,1.21205,1.21167,1.21197,129,5,0
94,1673268900,1.21196,1.21196,1.2113800000000001,1.21148,99,5,0
95,1673268960,1.2115,1.21164,1.21129,1.2114099999999999,105,5,0
96,1673269020,1.21144,1.21147,1.2112,1.21129,84,5,0
97,1673269080,1.21128,1.2115,1.21128,1.2115,103,5,0
98,1673269140,1.2115,1.21151,1.2112,1.2114,80,5,0
99,1673269200,1.21144,1.2120199999999999,1.21131,1.2120199999999999,124,5,0
100,1673269260,1.2120199999999999,1.21238,1.2120199999999999,1.21219,129,5,0
101,1673269320,1.21219,1.21229,1.21185,1.21185,93,5,0
